id,Торг_точка_чистый_адрес
1,-
2,он же
3,он же
4,он же
5,он же
6,он же
7,он же
8,он же
9,он же
10,он же
11,он же
12,он же
13,Ростовская обл. г.Морозовск ул. Ворошилова 364/2
14,он же
15,он же
16,он же
17,он же
18,он же
19,он же
20,он же
21,Ж
22,он же
23,он же
24,он же
25,"г.Азов, центр. рынок"
26,-
27,он же
28,он же
29,он же
30,он же
31,"г.Ростов-на-Дону, Соборный 72/Малюгина"
32,он же
33,он же
34,он же
35,он же
36,он же
37,он же
38,"г.Ростов н/Д, ул.Народного Ополчения, 50/18"
39,он же
40,"г.Батайск,Авиагородок"
41,он же
42,он же
43,он же
44,он же
45,он же
46,"Г.Батайск, Торговое кольцо 31, пав.""Сувенир"""
47,он же
48,он же
49,он же
50,он же
51,он же
52,он же
53,он же
54,он же
55,он же
56,он же
57,он же
58,он же
59,он же
60,он же
61,он же
62,р-к Привоз
63,он же
64,"г. Ростов-на-Дону, ул. Ц. Кунникова, 8б"
65,он же
66,он же
67,он же
68,он же
69,он же
70,он же
71,он же
72,г.Аксай ул.Советская 6
73,он же
74,-
75,он же
76,он же
77,он же
78,он же
79,он же
80,он же
81,он же
82,он же
83,он же
84,он же
85,он же
86,он же
87,он же
88,"344002, г. Ростов-на-Дону, пр. Буденовский, д.3/3"
89,он же
90,он же
91,Ростовская обл. Белая Калитва ул. Атаева 9а
92,Базарная 72 пав.№6 (Ц. рынок)
93,"344000, Россия, г. Ростов-на-Дону, ул. Горького 28/4"
94,он же
95,он же
96,г Батайск ул Горького 133 рынок лар № 285
97,"пр. Ленина 22, ориентир ""21 век"""
98,-
99,классик № 883
100,-
101,он же
102,-
104,"х.Плешаков, ул.Московская, 15"
105,Врубовая 40
106,р-к Привоз
107,"Матвеев-Курган, ул.Шевченко, 73"
108,"г.Батайск,Луначарского 188 (р-к Заря)"
109,-
110,-
111,-
112,"р-к Северный, м.43"
113,"Рост,обл. г.Новочеркаск,Платовский 77,азовский р-к павильон Виктория"
114,"ул.Туполева, 7"
115,"344041, Ростовская обл, Ростов-на-Дону г, Еременко ул, дом № 58/12"
116,"353741,Краснодарский край,ст.Ленинградская,ул.Светлая,66"
117,"346050Рост.обл.п.Тарасовский,улОстровско 55"
118,-
119,-
120,"х.Россошь, ул.Красноармейская, 34"
121,"Каменск-Шахтинский, пер.Коммунистический 92"
122,"п.Тарасовский, ул.Степная, 83"
123,он же
124,он же
125,"346400Ростовская область,г.Новочеркаск,ул. Спортивная 23"
126,он же
127,"344095,г.Р/Д,ул.Вятская,д.25,к.11"
128,"с.М.Неклиновка, ул.Заречная, 71"
129,"347540 Ростовская обл.г.Пролетарск, пр.50 лет Октября 82/Первомайская"
130,"347800 г.Каменск-Шахтинский,ул. Ленина 79"
131,Таганрог
132,он же
133,он же
134,"347803, г. Каменск-Шахтинский, ул Монтажников, д. 43б"
135,-
136,он же
137,"346770, Ростовская обл, Азовский р-н, Кагальник с, Советская ул, дом № 50, корпус б"
138,он же
139,он же
140,-
141,"Врубова,38 № 44"
142,"346880, Ростовская обл., г. Батайск, ул. Энгельса 86"
143,он же
144,г.Азов
145,он же
146,-
147,он же
148,ул.Пацаева д.16/1
150,он же
151,"ул. Станиславского, 106/28"
152,"ст.Староминская, с.Елизаветовка, ул.Дзержинского 31."
153,"г. Ростов-на-Дону, ул. 40лет Победы, 37ж"
154,он же
155,он же
156,Северный рынок пав.5
157,"г.Ростов-на-Дону, 40 лет Победы 63/4, ла"
158,"г. Ростов-на-Дону, Октябрьский район, ул. Петренко, д. 2"
159,"ИП Строителева М.М.,346330 Рост.обл.г.Донецк,ул.Горького,67а"
160,он же
161,он же
162,"с.Малофёдоровка, ул.Мира, 1"
163,-
164,он же
165,"п.Тарасовский, Ленина, 56а"
166,"г.каменск-Шахтинский,Коммунистический 102 м-н Чай кофе"
167,-
168,"г.Ростов н/Дону, ул.Вересаева, р-к ""Лидер""(Александр)"
169,"Г.Ростов-на-Дону, ул. Маршала Жукова,36/5"
170,"г.Азов, рынок"
171,"г.Ейск,ул. Мичурина4"
172,"п.Тарасовский, Ленина, 41"
173,он же
174,"ИП Чумакова Н.В.,347740,РФ, Ростов.обл.г.Зерноград,пер.Селекционный,13а"
175,Александровский рынок
176,"г.Ростов н/Д, ул.Туполева, 7а"
177,Туполева 4
178,"х.Красный Десант, ул.Октябрьская, 37"
179,"г.Аксай, ул.Садовая 20/2"
180,он же
181,он же
182,он же
183,он же
184,"347800 Ростовская обл.,г.Каменск-Шахтинский,ул.Профильная 33"
185,"г.Азов, рынок"
186,он же
187,"Рост.обл.,Мясник.р-н,с.Чалтырь,ул.Ростов"
188,он же
189,он же
190,он же
191,он же
192,он же
193,он же
194,он же
195,он же
196,он же
197,он же
198,он же
199,он же
200,он же
201,он же
202,он же
203,он же
204,он же
205,он же
206,он же
207,он же
208,он же
209,он же
210,он же
211,он же
212,он же
213,Ж
214,он же
215,он же
216,он же
217,он же
218,он же
219,он же
220,он же
221,он же
222,Таганрожское ш106
223,он же
224,он же
225,он же
226,он же
227,он же
228,он же
229,он же
230,он же
231,"Миллеровское СПО,346130,Ростовская обл.,г.Миллерово,ул.Советская,53"
232,он же
233,он же
235,он же
236,он же
237,он же
238,он же
239,он же
240,он же
241,он же
242,он же
243,он же
244,он же
245,он же
246,он же
247,-
248,он же
249,он же
250,он же
251,он же
252,он же
253,он же
254,Варфоломеева 58/22 (угол 1-го переулка)
255,он же
256,он же
257,он же
258,он же
259,он же
260,он же
261,он же
262,он же
263,он же
264,он же
265,он же
266,"ООО ""Апейрон"" г.Ростов-на-Дону,ул.ул.Социалистическая, 74"
267,он же
268,-
269,"г. Ростов-на-Дону, ул. Киргизская, 38а"
270,г.Батайск ул.Сальская д.44
271,он же
272,"г.Таганрог, ул.Фрунзе, 62"
273,"344094, Ростов-на-Дону, Можайская, 38/1"
274,он же
275,"344000 г.Ростов-на-Дону, ул.Б.Садовая, 8"
276,"344022, г. Ростов-на-Дону, ул. Максима Горького, 199, кор. 4"
277,"344092, г. Ростов-на-Дону, ул. Добровольского, 5а м-н продукты"
278,"ул. Комарова 24, м-н ""Доступная коллекция"""
280,"347805, Ростовская обл.,г. Каменск-Шахтинский,пр.К.Маркса 54Б"
281,он же
