id,Город дистрибьютора,Торг_точка_грязная,Торг_точка_грязная_адрес,outlet_clean_id
1,Ростов-на-Дону,ИП Гаврилов С.А.,"п.Глубокий, ул.Артёма 44",0
2,Ростов-на-Дону,ИП Малышева,-,1
3,Ростов-на-Дону,Абасян А.П. ИП,он же,2
4,Ростов-на-Дону,"Азатян Н,С. ИП ул. Ленина",он же,3
5,Ростов-на-Дону,Айдинов В.Я.,он же,0
6,Ростов-на-Дону,Алексеева Л П ИП,Буденного 161,4
7,Ростов-на-Дону,Алексеева Л П ИП,он же,4
8,Ростов-на-Дону,ИП Алиева Т.М.,Ип Алиева Т.М. п.Газетный 39,0
9,Ростов-на-Дону,Алпатова В В ИП,он же,5
10,Ростов-на-Дону,Алпатова В В ИП,ул Гвардейская 34-а,0
11,Ростов-на-Дону,Алпатова В.В. ИП,он же,5
12,Ростов-на-Дону,"Алпатова В.В. ИП ""Ассорти+""",он же,6
13,Ростов-на-Дону,Алпатова В.В. ИП ул.Гвардейская 34-а,он же,7
14,Ростов-на-Дону,"ООО ""Альтернатива""",он же,0
15,Ростов-на-Дону,Альянс ООО г.Новочеркаск,он же,8
16,Ростов-на-Дону,"Андреасян А.А, ИП",он же,0
17,Ростов-на-Дону,Анохин С М ИП,Ростов на Дону ул Калинина 10-А,0
18,Ростов-на-Дону,Антипова И.Д. п.Васильевский,он же,9
19,Ростов-на-Дону,Арег ООО,он же,10
20,Ростов-на-Дону,Армада-Н,он же,11
21,Ростов-на-Дону,Арнес ООО,он же,12
22,Ростов-на-Дону,ИП Арустамян,Ростовская обл. г.Морозовск ул. Ворошилова 364/2,13
23,Ростов-на-Дону,Асмаева Т.А. ИП Маг. Овощи-фрукты,он же,14
24,Ростов-на-Дону,Асриян Б Х,-,0
25,Ростов-на-Дону,"ООО ""Ассоль""",он же,15
26,Ростов-на-Дону,Атаари К.Г. ИП,он же,16
27,Ростов-на-Дону,Бабкова О.Е. ИП х.Грушевка,он же,17
28,Ростов-на-Дону,Бага,Ворошиловский 40,0
29,Ростов-на-Дону,Баулин Н.Е.,он же,18
30,Ростов-на-Дону,"Баусова И.В.ИП м-н ""Ирина""",он же,19
31,Ростов-на-Дону,ИП Безбородов,до 12часов,0
32,Ростов-на-Дону,Беленков И.А. ИП,он же,20
33,Ростов-на-Дону,Беник пок,-,21
34,Ростов-на-Дону,Беник пок.,-,21
35,Ростов-на-Дону,Беник пок.,Ж,21
36,Ростов-на-Дону,"Бирюкова Л.Н.ИП Фурманова, тп 20",он же,22
37,Ростов-на-Дону,Блок ЗАО м-н №7,он же,23
38,Ростов-на-Дону,Болдырева И.Н. ИП,он же,24
39,Ростов-на-Дону,ИП Бородин,он же,0
40,Ростов-на-Дону,Боря Дубров,-,25
41,Ростов-на-Дону,Боря Дубров,г Азов центр рынок,25
42,Ростов-на-Дону,Боря Дубров,"г.Азов, центр. рынок",25
43,Ростов-на-Дону,Боря липтон,он же,0
44,Ростов-на-Дону,Брак,-,26
45,Ростов-на-Дону,Брижанова Г.И. ИП,он же,27
46,Ростов-на-Дону,ИП Бросалина Л.Н.,"г.Ростов н/Д, ул.Штахановского, 12",0
47,Ростов-на-Дону,Бунич Г.Ф.ИП,он же,28
48,Ростов-на-Дону,Буркутов С.И. ИП,он же,29
49,Ростов-на-Дону,Бычихин В.И. ИП ул.Новая 26,он же,0
50,Ростов-на-Дону,Валео ООО,он же,30
51,Ростов-на-Дону,Валерий Фед,г Ростов-на-Дону Соборный 72/Малюгина,31
52,Ростов-на-Дону,Валерий Фед,"г.Ростов-на-Дону, Соборный 72/Малюгина",31
53,Ростов-на-Дону,Василек ООО м-н Руслан,он же,32
54,Ростов-на-Дону,Васильева С.В.ИП,он же,33
55,Ростов-на-Дону,Васильченко Е.А. ИП,он же,34
56,Ростов-на-Дону,Васюкова Н.П. ИП Васюкова,он же,35
57,Ростов-на-Дону,Васюкова Н.П. ИП,он же,36
58,Ростов-на-Дону,Ващенко Е.В. ИП.п.Артем..пер.Горняцкая,он же,37
59,Ростов-на-Дону,Великжанин В.Н ИП,он же,0
60,Ростов-на-Дону,ИП Вернигорова Ю.С.,"г.Ростов н/Д, ул.Народного Ополчения, 50/18",38
61,Ростов-на-Дону,Вещевайлова И.В. ИП,он же,39
62,Ростов-на-Дону,Вика,-,0
63,Ростов-на-Дону,Виноградова,-,40
64,Ростов-на-Дону,Виноградова,г Батайск Авиагородок,40
65,Ростов-на-Дону,Виноградова,г.Батайск Авиагородок,40
66,Ростов-на-Дону,Виноградова,"г.Батайск,Авиагородок",40
67,Ростов-на-Дону,Виноградова,"г.Батайск,Авиагородок",40
68,Ростов-на-Дону,Виноградова 2,он же,0
69,Ростов-на-Дону,Владлена ООО п. Чичерино,он же,41
70,Ростов-на-Дону,Водолей ООО,он же,42
71,Ростов-на-Дону,Волков С.А.ИП,он же,43
72,Ростов-на-Дону,Волкова Н.А.,он же,44
73,Ростов-на-Дону,Волна ООО рп.Усть-Донецкий,он же,45
74,Ростов-на-Дону,ИП Воробьёва Н.В.,"Г.Батайск, Торговое кольцо 31, пав.""Сувенир""",46
75,Ростов-на-Дону,"Восток ООО г.Семикаракорск, ул.Комарова, 69",он же,47
76,Ростов-на-Дону,Восторг ООО,он же,48
77,Ростов-на-Дону,Галумян А.Н. ИП,он же,49
78,Ростов-на-Дону,Галушкин В.М. ИП ул. Октябрьская,он же,50
79,Ростов-на-Дону,Гапонова Н.М. ИП,он же,51
80,Ростов-на-Дону,Гараева А.В.ИП,он же,52
81,Ростов-на-Дону,Гараева А.В.ИП Чапаева ул,он же,53
82,Ростов-на-Дону,ИП Гараева И.В.,"х.Урывский, ул.Российская, 50",0
83,Ростов-на-Дону,Гевор,-,0
84,Ростов-на-Дону,Гетманова С.И.ИП,он же,54
85,Ростов-на-Дону,Глазкова С.В. ИП,он же,55
86,Ростов-на-Дону,ИП Глушенко И.Н.,он же,56
87,Ростов-на-Дону,Гнутов Э.Е. ИП,он же,57
88,Ростов-на-Дону,Годенова С.А. ИП,он же,58
89,Ростов-на-Дону,Голощапова С.Н. ИП,он же,59
90,Ростов-на-Дону,Голубева Е.В. ИП,он же,60
91,Ростов-на-Дону,Гончарова И.И. ИП,он же,0
92,Ростов-на-Дону,Горбенко В.П. ИП м-н Меркурий,он же,0
93,Ростов-на-Дону,Гордеева Н.Ю. ИП,он же,61
94,Ростов-на-Дону,ИП Гордюкова И А,р-к Привоз,62
95,Ростов-на-Дону,ИП Гордюкова И.А.,р-к Привоз,62
96,Ростов-на-Дону,Горелова О.В. ИП,он же,63
97,Ростов-на-Дону,ИП Готьван С.В.,"Азовский р-н, с. Маргаритово, ул.Луговая, 1",0
98,Ростов-на-Дону,ИП Готьван С.В. Маргаритово,"Азовский р-н, с. Маргаритово, ул.Луговая, 1",0
99,Ростов-на-Дону,ИП Григорьева Л.Ю.,он же,0
100,Ростов-на-Дону,Григорян Ш.Г.,г. Ростов-на-Дону ул. Ц. Кунникова 8б,64
101,Ростов-на-Дону,Гридин Н.А. ИП,он же,65
102,Ростов-на-Дону,"Гридин Н.А. ИП Садовая, 48",он же,66
103,Ростов-на-Дону,Грузчики,он же,67
104,Ростов-на-Дону,Грузчики Ночная смена,он же,68
105,Ростов-на-Дону,Даллари Р.О. ИП Сальск,он же,69
106,Ростов-на-Дону,Данилицкий В.В. ИП Садовая,он же,70
107,Ростов-на-Дону,"Датченко Ю.А. ИП ул.Социалистическая, 22",он же,71
108,Ростов-на-Дону,ДЕЛИКАТЕС ООО,г Аксай ул Советская 6,72
109,Ростов-на-Дону,Деликатес ООО,он же,73
110,Ростов-на-Дону,Дерюгина Н.В. ИП,он же,75
111,Ростов-на-Дону,Джумакова Г.З. ИП,он же,76
112,Ростов-на-Дону,"Джумакова Г.З. ИП ул. 26 бакинских комиссаров, 2-а",он же,77
113,Ростов-на-Дону,Диол ООО,он же,78
114,Ростов-на-Дону,Для Друзей ООО,он же,79
115,Ростов-на-Дону,Для Друзей ООО ул. Пушкина,он же,80
116,Ростов-на-Дону,Домашний очаг ООО,он же,81
117,Ростов-на-Дону,Домашний очаг ООО пер.Украинский 16-б,он же,82
118,Ростов-на-Дону,Дон ООО Мичуринская,он же,83
119,Ростов-на-Дону,Дудаева С.И. ИП,он же,84
120,Ростов-на-Дону,Духин Л.И ИП,он же,85
121,Ростов-на-Дону,Евстратенко Т.С. ИП Катаева,он же,86
122,Ростов-на-Дону,Женя Мамлаев,-,87
123,Ростов-на-Дону,Женя Мамлаев,он же,87
124,Ростов-на-Дону,Залкин Станислав Игоревич,-,0
125,Ростов-на-Дону,"ЗАО "" Эй Си Нильсен""","344002, г. Ростов-на-Дону, пр. Буденовский, д.3/3",88
126,Ростов-на-Дону,"ЗАО ""Ростовэлектроинструмент""",-,0
127,Ростов-на-Дону,"ЗАО ""Эй Си Нильсен""",-,88
128,Ростов-на-Дону,Зиндяев И.С. ИП,он же,0
129,Ростов-на-Дону,ИП Золотько,он же,0
130,Ростов-на-Дону,Зубков А.С. ИП,он же,89
131,Ростов-на-Дону,Зураб (ООО Виктория),-,0
132,Ростов-на-Дону,Ильичева Л.К. ИП,он же,90
133,Ростов-на-Дону,Инглиш тудей,г.Батайск ул.Рабочая 88,0
134,Ростов-на-Дону,ИП Абабасовская Т.А.,"г.Таганрог, ул. Александровская, 160а",0
135,Ростов-на-Дону,ИП Аббасовская Т.А. г.Таганрог,"г.Таганрог, ул. Александровская, 160а",0
136,Ростов-на-Дону,ИП Аведисьян Э.Х.,-,0
137,Ростов-на-Дону,ИП Агабабян Е.М.,-,0
138,Ростов-на-Дону,ИП Агаджанов М А,Ростовская обл Белая Калитва ул Атаева 9а,91
139,Ростов-на-Дону,ИП Агаджанов М.А.,Ростовская обл. Белая Калитва ул. Атаева 9а,91
140,Ростов-на-Дону,ИП Альбова ГИ,-,92
141,Ростов-на-Дону,ИП Альбова ГИ,Базарная 72 пав №6 (Ц рынок),92
142,Ростов-на-Дону,ИП Альбова ГИ,Базарная 72 пав.№6 (Ц. рынок),92
143,Ростов-на-Дону,ИП Аненкова Г.А.,он же,0
144,Ростов-на-Дону,ИП Анисимов Александр Сергеевич,344000 Россия г Ростов-на-Дону ул Горького 28/4,93
145,Ростов-на-Дону,ИП Анисимов Александр Сергеевич,"344000, Россия, г. Ростов-на-Дону, ул. Горького 28/4",93
